Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',119,1,21-janv-16,'C1_119_1',L2,C1_119_1_L2,1,0.529,'T',52.01987065,101.6919099,-0.939854538,0.95209617,21,1,JAN21,T119_JAN21_L2
'C1',119,1,21-janv-16,'C1_119_1',L3,C1_119_1_L3,1.45,0.675,'T',76.85194421,87.83121975,NaN,0.79993599,21,1,JAN21,T119_JAN21_L3
'C1',119,1,21-janv-16,'C1_119_1',L4,C1_119_1_L4,1.1,0.465,'T',59.67357594,77.92393747,NaN,NaN,21,1,JAN21,T119_JAN21_L4
'C1',119,1,21-janv-16,'C1_119_1',L5,C1_119_1_L5,1.62,0.799,'T',81.06849529,98.55863207,NaN,NaN,21,1,JAN21,T119_JAN21_L5
'C1',22,1,21-janv-16,'C1_22_1',L1,C1_22_1_L1,0.74,0.44,'T',42.73717155,102.9548714,-1.479886316,4.487136374,21,1,JAN21,T22_JAN21_L1
'C1',22,1,21-janv-16,'C1_22_1',L2,C1_22_1_L2,0.95,0.483,'T',47.17454999,102.3857144,-1.301118262,1.680884626,21,1,JAN21,T22_JAN21_L2
'C1',22,1,21-janv-16,'C1_22_1',L3,C1_22_1_L3,1.08,0.529,'T',49.80760539,106.2086795,-1.281581961,1.70286127,21,1,JAN21,T22_JAN21_L3
'C1',22,1,21-janv-16,'C1_22_1',L4,C1_22_1_L4,0.9,0.47,'T',42.09000234,111.6654725,-1.399581099,2.548957744,21,1,JAN21,T22_JAN21_L4
'C1',22,1,21-janv-16,'C1_22_1',L5,C1_22_1_L5,0.89,0.453,'T',40.05228707,113.1021555,-1.255760055,2.874193783,21,1,JAN21,T22_JAN21_L5
'C1',83,1,21-janv-16,'C1_83_1',L1,C1_83_1_L1,3.65,1.776,'T',196.8433726,90.22401804,-1.063755288,10.62256596,21,1,JAN21,T83_JAN21_L1
'C1',83,1,21-janv-16,'C1_83_1',L2,C1_83_1_L2,1.65,0.807,'T',86.82630717,92.94418089,NaN,4.073389707,21,1,JAN21,T83_JAN21_L2
'C1',83,1,21-janv-16,'C1_83_1',L3,C1_83_1_L3,2.5,1.14,'T',132.897374,85.78047603,-1.104778338,12.09419334,21,1,JAN21,T83_JAN21_L3
'C1',83,1,21-janv-16,'C1_83_1',L4,C1_83_1_L4,2.73,1.207,'T',126.5644043,95.36646632,-0.985535765,3.848220161,21,1,JAN21,T83_JAN21_L4
'C1',83,1,21-janv-16,'C1_83_1',L5,C1_83_1_L5,3.62,1.573,'T',176.8239695,88.95852779,-0.8624155,5.779632931,21,1,JAN21,T83_JAN21_L5
'C1',69,1,21-janv-16,'C1_69_1',L1,C1_69_1_L1,3.07,1.371,'T',172.573911,79.44422144,-0.568754086,5.28473926,21,1,JAN21,T69_JAN21_L1
'C1',69,1,21-janv-16,'C1_69_1',L2,C1_69_1_L2,2.24,0.92,'T',141.862464,64.85154523,-0.04046416,5.742069796,21,1,JAN21,T69_JAN21_L2
'C1',69,1,21-janv-16,'C1_69_1',L3,C1_69_1_L3,1.85,0.954,'T',96.0025715,99.37233817,-0.466788163,5.314064886,21,1,JAN21,T69_JAN21_L3
'C1',69,1,21-janv-16,'C1_69_1',L4,C1_69_1_L4,1.47,0.742,'T',87.46762253,84.83139001,-0.765908494,2.307085458,21,1,JAN21,T69_JAN21_L4
